"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: charset","Param: sizeInMb"
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,135684","0,059651","s/op",4096,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,690427","0,222431","s/op",4096,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,088909","0,184386","s/op",4096,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,352531","0,005731","s/op",4096,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,274673","0,010618","s/op",4096,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"16,439625","0,103725","s/op",4096,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"32,953896","0,264056","s/op",4096,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,363303","0,025812","s/op",8192,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,723610","0,145730","s/op",8192,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"13,243567","0,149840","s/op",8192,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"26,220357","0,516056","s/op",8192,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,311428","0,004901","s/op",8192,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,942958","0,064790","s/op",8192,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,544942","0,195000","s/op",8192,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"29,077400","0,165710","s/op",8192,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,333550","0,006650","s/op",8192,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,141124","0,060612","s/op",8192,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,667319","0,069571","s/op",8192,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,335355","0,177840","s/op",8192,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,512848","0,008668","s/op",16384,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,628504","0,016194","s/op",16384,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"18,236571","0,223172","s/op",16384,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"36,407357","0,176430","s/op",16384,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,311323","0,008521","s/op",16384,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,918296","0,052297","s/op",16384,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,496027","0,141158","s/op",16384,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"28,951807","0,178795","s/op",16384,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,314403","0,010052","s/op",16384,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,176382","0,074203","s/op",16384,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,510826","0,098868","s/op",16384,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,071017","0,201920","s/op",16384,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,529822","0,004509","s/op",32768,UTF-8,10
